tool_name,category,release_year,pricing,open_source,github_stars,company,monthly_users,tags
AITool_109,Image Generation,2025,Enterprise,Yes,99162,Google,8927387,"marketing,developer,assistant"
AITool_110,Video AI,2022,Free,No,19221,Anthropic,40819341,"chatbot,voice,automation"
AITool_111,Marketing AI,2020,Free,No,182310,Adobe,44964341,"design,text,research"
AITool_112,Video AI,2020,Free,No,149713,AWS,22883795,"automation,chatbot,productivity"
AITool_113,Video AI,2026,Enterprise,Yes,49972,Anthropic,40457250,"automation,productivity,marketing"
AITool_114,Design AI,2022,Freemium,Yes,148207,Adobe,25415087,"productivity,voice,text"
AITool_115,Design AI,2021,Enterprise,No,155271,OpenAI,46928441,"image,video,marketing"
AITool_116,Design AI,2024,Enterprise,Yes,168543,Google,38175624,"developer,assistant,productivity"
AITool_117,Productivity AI,2022,Enterprise,No,27271,Adobe,43692171,"assistant,text,automation"
AITool_118,Image Generation,2024,Freemium,Yes,28588,Google,13729927,"voice,text,developer"
AITool_119,LLM,2025,Paid,Yes,160735,Independent,32415253,"chatbot,image,assistant"
AITool_120,Music AI,2022,Free,No,177441,Startup,49246308,"research,productivity,automation"
AITool_121,LLM,2022,Freemium,No,136442,Adobe,40176679,"developer,text,automation"
AITool_122,Image Generation,2020,Paid,Yes,109823,Adobe,5424216,"productivity,voice,assistant"
AITool_123,Productivity AI,2021,Freemium,No,106954,OpenAI,1831921,"text,automation,assistant"
AITool_124,Image Generation,2024,Free,Yes,186812,Microsoft,26462581,"automation,design,productivity"
AITool_125,Research AI,2020,Enterprise,No,110184,Meta,40306403,"image,chatbot,research"
AITool_126,Coding Assistant,2020,Free,Yes,156495,Independent,559660,"text,marketing,video"
AITool_127,Coding Assistant,2020,Enterprise,No,195830,Google,5762273,"productivity,automation,assistant"
AITool_128,Design AI,2026,Free,Yes,186123,Startup,8195757,"productivity,design,image"
AITool_129,Productivity AI,2022,Paid,No,37733,OpenAI,20212245,"text,productivity,design"
AITool_130,Marketing AI,2023,Free,Yes,1601,Meta,17343226,"image,design,developer"
AITool_131,Video AI,2024,Paid,Yes,70621,Microsoft,45583800,"research,productivity,video"
AITool_132,Design AI,2021,Freemium,No,64828,Google,39572729,"image,assistant,design"
AITool_133,Music AI,2021,Free,Yes,3380,Independent,19048109,"voice,assistant,automation"
AITool_134,LLM,2022,Enterprise,No,188610,Microsoft,21815407,"text,productivity,chatbot"
AITool_135,Research AI,2026,Freemium,No,79179,Adobe,9361496,"marketing,productivity,research"
AITool_136,Coding Assistant,2023,Enterprise,Yes,198608,AWS,38440392,"assistant,chatbot,text"
AITool_137,Speech AI,2021,Enterprise,Yes,116488,Independent,28537639,"text,marketing,image"
AITool_138,Image Generation,2023,Paid,Yes,189580,Google,518757,"developer,automation,video"
AITool_139,Video AI,2024,Freemium,No,130781,Independent,25672969,"voice,design,automation"
AITool_140,Image Generation,2021,Paid,Yes,124624,AWS,33354389,"automation,developer,video"
AITool_141,Coding Assistant,2021,Enterprise,No,56286,Meta,43598384,"automation,voice,image"
AITool_142,Productivity AI,2025,Paid,No,132196,Independent,952106,"voice,developer,productivity"
AITool_143,Marketing AI,2022,Freemium,No,77328,Adobe,11216651,"chatbot,marketing,text"
AITool_144,Coding Assistant,2021,Free,No,69970,Google,43749869,"marketing,assistant,research"
AITool_145,Marketing AI,2021,Enterprise,No,80749,AWS,40619711,"developer,image,video"
AITool_146,Speech AI,2024,Enterprise,No,30395,OpenAI,28404235,"developer,assistant,research"
AITool_147,Coding Assistant,2026,Free,No,3202,Meta,35163637,"chatbot,voice,video"
AITool_148,Music AI,2025,Paid,No,15646,Independent,33327595,"design,automation,video"
AITool_149,Design AI,2023,Enterprise,No,91844,Meta,13545629,"marketing,voice,text"
AITool_150,Research AI,2023,Freemium,Yes,42094,Microsoft,10617904,"automation,voice,assistant"
AITool_151,Design AI,2021,Freemium,Yes,72069,Meta,9613293,"text,assistant,automation"
AITool_152,Productivity AI,2025,Free,No,84137,Adobe,32916480,"video,voice,chatbot"
AITool_153,Research AI,2025,Free,Yes,74385,Startup,49780754,"chatbot,design,voice"
AITool_154,Music AI,2020,Freemium,No,105613,Google,32636082,"chatbot,video,research"
AITool_155,Marketing AI,2023,Enterprise,Yes,101122,Google,29303258,"text,productivity,chatbot"
AITool_156,Productivity AI,2026,Enterprise,No,97704,AWS,22121380,"developer,assistant,image"
AITool_157,Productivity AI,2024,Paid,No,138605,Adobe,31575641,"assistant,video,chatbot"
AITool_158,Speech AI,2023,Free,No,61641,AWS,17761130,"marketing,text,developer"
AITool_159,Video AI,2021,Free,Yes,197282,Microsoft,21657560,"marketing,video,automation"
AITool_160,Image Generation,2024,Enterprise,Yes,85341,Anthropic,40324296,"design,marketing,text"
AITool_161,Productivity AI,2021,Free,Yes,102338,Google,13497440,"assistant,text,developer"
AITool_162,Coding Assistant,2022,Freemium,No,49796,OpenAI,1074822,"productivity,voice,developer"
AITool_163,Image Generation,2022,Enterprise,No,66796,Independent,22606069,"image,video,research"
AITool_164,LLM,2021,Paid,No,9607,AWS,1027978,"automation,assistant,developer"
AITool_165,Image Generation,2025,Free,Yes,45622,Startup,4588109,"automation,video,voice"
AITool_166,Video AI,2025,Paid,Yes,77411,Adobe,16459169,"voice,design,video"
AITool_167,Coding Assistant,2021,Free,Yes,109964,Independent,30651851,"developer,assistant,marketing"
AITool_168,Music AI,2026,Free,No,17230,Google,3687581,"image,developer,voice"
AITool_169,Image Generation,2021,Free,Yes,153610,Independent,35395653,"voice,marketing,image"
AITool_170,Image Generation,2024,Free,No,68742,Adobe,34496281,"voice,productivity,image"
AITool_171,Design AI,2023,Paid,Yes,148341,AWS,49770904,"marketing,research,image"
AITool_172,Music AI,2022,Freemium,Yes,165733,OpenAI,33817817,"productivity,assistant,marketing"
AITool_173,Image Generation,2025,Free,No,4363,AWS,26080102,"video,automation,design"
AITool_174,Coding Assistant,2025,Freemium,Yes,17379,Startup,13246789,"voice,developer,assistant"
AITool_175,Video AI,2021,Enterprise,No,196091,OpenAI,11674999,"design,image,productivity"
AITool_176,Marketing AI,2023,Freemium,No,97188,OpenAI,19444206,"developer,productivity,text"
AITool_177,Speech AI,2022,Enterprise,Yes,78378,Anthropic,23697056,"developer,research,marketing"
AITool_178,Image Generation,2022,Freemium,No,160224,Startup,44339863,"automation,design,assistant"
AITool_179,Marketing AI,2022,Freemium,No,163701,OpenAI,2205505,"automation,developer,text"
AITool_180,Coding Assistant,2020,Enterprise,Yes,58223,Anthropic,7257210,"automation,productivity,text"
AITool_181,Coding Assistant,2024,Freemium,No,99417,Anthropic,37080941,"assistant,automation,productivity"
AITool_182,Image Generation,2026,Freemium,No,5883,Independent,47336674,"chatbot,developer,marketing"
AITool_183,LLM,2026,Free,No,156834,Microsoft,20981735,"assistant,chatbot,productivity"
AITool_184,Image Generation,2026,Enterprise,Yes,179015,Adobe,40200506,"video,design,developer"
AITool_185,Video AI,2022,Free,Yes,197384,Anthropic,13649559,"text,productivity,video"
AITool_186,Coding Assistant,2024,Freemium,Yes,15490,Microsoft,2870399,"automation,image,text"
AITool_187,Marketing AI,2025,Enterprise,Yes,54772,Startup,35874905,"automation,marketing,image"
AITool_188,Speech AI,2021,Free,Yes,953,OpenAI,15758143,"research,design,productivity"
AITool_189,Image Generation,2024,Free,Yes,78394,Anthropic,31660503,"video,marketing,design"
AITool_190,Research AI,2025,Enterprise,No,64134,Google,39628653,"chatbot,automation,design"
AITool_191,Marketing AI,2021,Free,Yes,73948,Anthropic,14923012,"voice,image,design"
AITool_192,Music AI,2022,Freemium,No,91864,OpenAI,36902875,"image,developer,research"
AITool_193,Coding Assistant,2025,Freemium,No,112827,Independent,3108130,"voice,assistant,developer"
AITool_194,Design AI,2020,Enterprise,Yes,2065,Microsoft,27025508,"marketing,research,assistant"
AITool_195,Music AI,2024,Enterprise,Yes,197923,AWS,43946046,"video,productivity,voice"
AITool_196,LLM,2020,Paid,Yes,186680,Adobe,3942399,"developer,video,research"
AITool_197,Marketing AI,2022,Enterprise,Yes,189951,Microsoft,598652,"image,text,design"
AITool_198,Design AI,2022,Enterprise,Yes,29874,Microsoft,17174697,"text,image,chatbot"
AITool_199,Video AI,2026,Paid,Yes,3655,Meta,4033222,"image,text,automation"
AITool_200,Coding Assistant,2025,Free,Yes,107889,Google,1607944,"productivity,video,chatbot"
AITool_201,Image Generation,2023,Free,No,177915,Adobe,30960856,"automation,video,image"
AITool_202,Research AI,2025,Free,Yes,172124,Google,33861212,"text,video,image"
AITool_203,Speech AI,2026,Enterprise,No,28669,Startup,37541387,"marketing,productivity,image"
AITool_204,Video AI,2020,Enterprise,Yes,138977,Anthropic,5933116,"video,automation,productivity"
AITool_205,Productivity AI,2022,Freemium,No,167936,Google,6540282,"image,research,automation"
AITool_206,Productivity AI,2020,Paid,Yes,117349,Microsoft,26673976,"text,assistant,image"
AITool_207,Design AI,2022,Free,No,31918,Startup,22509717,"automation,chatbot,video"
AITool_208,Productivity AI,2024,Free,No,91657,Adobe,22146825,"video,research,image"
AITool_209,Music AI,2026,Freemium,No,184086,AWS,1767561,"developer,assistant,marketing"
AITool_210,Image Generation,2020,Free,No,93828,OpenAI,1542983,"research,image,voice"
AITool_211,Music AI,2023,Enterprise,Yes,177773,Google,37777319,"voice,text,automation"
AITool_212,Marketing AI,2024,Enterprise,Yes,36652,OpenAI,26470210,"image,text,research"
AITool_213,Music AI,2022,Enterprise,No,134678,Independent,48132738,"image,design,text"
AITool_214,LLM,2026,Enterprise,No,105255,Google,9834014,"image,assistant,research"
AITool_215,Productivity AI,2023,Freemium,Yes,38581,OpenAI,9084450,"marketing,design,research"
AITool_216,Music AI,2021,Freemium,No,172562,Independent,37795039,"image,design,automation"
AITool_217,Image Generation,2022,Paid,No,106687,AWS,43077697,"productivity,design,developer"
AITool_218,Research AI,2024,Freemium,No,176679,Meta,43663702,"video,design,chatbot"
AITool_219,Music AI,2022,Enterprise,No,65919,AWS,20584056,"developer,video,productivity"
AITool_220,LLM,2020,Free,Yes,199571,Adobe,5038787,"assistant,voice,video"
AITool_221,Design AI,2022,Enterprise,Yes,170495,Startup,2152612,"voice,developer,video"
AITool_222,Image Generation,2023,Freemium,No,43419,Independent,18211020,"video,design,text"
AITool_223,LLM,2022,Free,No,38249,Meta,20157739,"design,text,chatbot"
AITool_224,Coding Assistant,2023,Enterprise,Yes,165678,Anthropic,21009934,"marketing,productivity,research"
AITool_225,Research AI,2020,Paid,Yes,198524,Startup,36706770,"text,chatbot,design"
AITool_226,Productivity AI,2025,Free,Yes,55037,OpenAI,11054113,"marketing,research,text"
AITool_227,Coding Assistant,2020,Paid,No,147419,Anthropic,35185353,"chatbot,developer,image"
AITool_228,Design AI,2024,Free,No,39316,Anthropic,34253567,"developer,productivity,marketing"
AITool_229,Coding Assistant,2020,Enterprise,Yes,186065,Anthropic,24255664,"chatbot,developer,marketing"
AITool_230,LLM,2022,Enterprise,Yes,30026,Anthropic,26575470,"assistant,automation,productivity"
AITool_231,Research AI,2025,Free,Yes,90325,Meta,18238016,"research,voice,chatbot"
AITool_232,Coding Assistant,2023,Free,No,173359,Google,47402422,"automation,research,chatbot"
AITool_233,Design AI,2022,Paid,Yes,1380,Independent,47434248,"chatbot,voice,productivity"
AITool_234,LLM,2023,Free,Yes,138293,Independent,35981174,"chatbot,design,productivity"
AITool_235,Speech AI,2020,Paid,Yes,155561,Meta,18702233,"assistant,chatbot,marketing"
AITool_236,Productivity AI,2020,Free,No,73019,Microsoft,30726328,"assistant,chatbot,voice"
AITool_237,Design AI,2022,Free,Yes,145973,Independent,46775382,"image,productivity,assistant"
AITool_238,LLM,2020,Freemium,Yes,169591,Microsoft,16505960,"design,voice,text"
AITool_239,LLM,2024,Enterprise,No,9323,Google,25893484,"video,image,chatbot"
AITool_240,LLM,2020,Freemium,Yes,399,OpenAI,25214825,"assistant,image,developer"
AITool_241,Video AI,2020,Freemium,Yes,172683,Meta,195853,"developer,chatbot,research"
AITool_242,Video AI,2023,Paid,Yes,198768,Independent,12778455,"marketing,text,video"
AITool_243,Research AI,2022,Paid,Yes,24330,AWS,31673497,"image,automation,video"
AITool_244,Marketing AI,2020,Free,No,135192,AWS,11530669,"research,voice,design"
AITool_245,Research AI,2020,Enterprise,No,16013,OpenAI,1224228,"video,marketing,research"
AITool_246,Research AI,2025,Free,No,181065,Microsoft,27774956,"productivity,automation,video"
AITool_247,Video AI,2023,Free,Yes,60885,Microsoft,46709132,"productivity,chatbot,marketing"
AITool_248,Productivity AI,2022,Free,Yes,162663,Adobe,35132096,"video,chatbot,voice"
AITool_249,LLM,2026,Enterprise,No,58895,Anthropic,4940837,"assistant,marketing,chatbot"
AITool_250,Speech AI,2024,Free,No,185798,Startup,39807242,"voice,research,image"
AITool_251,LLM,2026,Paid,Yes,151862,Startup,37082240,"voice,automation,research"
AITool_252,Research AI,2024,Paid,No,17755,OpenAI,41890899,"developer,automation,productivity"
AITool_253,Marketing AI,2021,Freemium,No,21741,Google,22583806,"image,chatbot,productivity"
AITool_254,Design AI,2021,Paid,Yes,187594,AWS,676576,"image,voice,design"
AITool_255,Research AI,2025,Enterprise,No,135371,Startup,20591710,"marketing,research,automation"
AITool_256,Marketing AI,2022,Free,No,46576,Anthropic,49962656,"voice,assistant,image"
AITool_257,Coding Assistant,2025,Freemium,No,56440,Meta,18846966,"automation,research,text"
AITool_258,Marketing AI,2026,Paid,Yes,142540,AWS,20232109,"design,developer,video"
AITool_259,Speech AI,2026,Free,Yes,78693,OpenAI,44344825,"chatbot,automation,text"
AITool_260,Design AI,2023,Free,Yes,112875,Google,32993971,"voice,marketing,research"
AITool_261,Research AI,2026,Enterprise,Yes,141020,Startup,6189381,"marketing,developer,chatbot"
AITool_262,Speech AI,2020,Free,Yes,161876,Meta,43124937,"automation,research,text"
AITool_263,Marketing AI,2025,Enterprise,No,84386,AWS,24211497,"research,chatbot,productivity"
AITool_264,Marketing AI,2024,Freemium,No,175369,Independent,9943036,"image,automation,developer"
AITool_265,Image Generation,2024,Paid,No,144952,Adobe,38745260,"marketing,image,chatbot"
AITool_266,Video AI,2021,Enterprise,No,162544,Meta,38215177,"research,assistant,text"
AITool_267,Image Generation,2024,Paid,Yes,80119,OpenAI,37543074,"image,voice,video"
AITool_268,Research AI,2024,Enterprise,Yes,91322,OpenAI,25431546,"research,marketing,productivity"
AITool_269,Video AI,2020,Paid,No,170069,AWS,30581662,"productivity,assistant,chatbot"
AITool_270,Music AI,2023,Free,Yes,175669,OpenAI,45884050,"video,voice,automation"
AITool_271,Research AI,2024,Paid,Yes,70802,OpenAI,27031555,"assistant,marketing,productivity"
AITool_272,Image Generation,2026,Freemium,Yes,175009,Anthropic,47620002,"marketing,automation,design"
AITool_273,Image Generation,2020,Free,No,4785,Microsoft,21154943,"video,design,developer"
AITool_274,Design AI,2025,Enterprise,No,6588,Startup,44877953,"developer,video,research"
AITool_275,Coding Assistant,2026,Free,No,77997,Meta,26624288,"productivity,design,marketing"
AITool_276,Coding Assistant,2025,Paid,No,104748,Google,26863326,"developer,marketing,assistant"
AITool_277,Research AI,2026,Paid,No,84119,Adobe,23893493,"image,productivity,design"
AITool_278,Image Generation,2021,Freemium,No,2212,Meta,15810062,"developer,assistant,design"
AITool_279,Research AI,2020,Paid,No,151409,Microsoft,17796209,"assistant,marketing,design"
AITool_280,Image Generation,2024,Freemium,No,175058,Google,21400873,"design,research,assistant"
AITool_281,Design AI,2025,Freemium,Yes,49024,Adobe,3335546,"video,research,productivity"
AITool_282,Marketing AI,2020,Enterprise,No,84518,Independent,35333461,"voice,productivity,automation"
AITool_283,Speech AI,2022,Free,No,82389,Anthropic,19088568,"image,automation,text"
AITool_284,Music AI,2024,Freemium,Yes,5110,AWS,49552519,"developer,research,voice"
AITool_285,Productivity AI,2025,Paid,No,117928,Microsoft,8172599,"automation,marketing,assistant"
AITool_286,Speech AI,2024,Freemium,No,89806,Adobe,258024,"text,developer,research"
AITool_287,Research AI,2025,Freemium,No,177314,OpenAI,32542753,"image,text,automation"
AITool_288,Marketing AI,2020,Paid,No,60033,Adobe,30489522,"image,marketing,research"
AITool_289,Video AI,2022,Free,No,39647,AWS,13096530,"voice,text,automation"
AITool_290,Image Generation,2021,Enterprise,No,186782,AWS,25444366,"assistant,design,marketing"
AITool_291,Image Generation,2023,Free,No,44063,Startup,47800852,"chatbot,developer,image"
AITool_292,Productivity AI,2021,Freemium,Yes,8658,Independent,15424830,"marketing,video,text"
AITool_293,LLM,2023,Free,No,79938,Independent,38462217,"assistant,voice,video"
AITool_294,Productivity AI,2024,Freemium,Yes,114053,Microsoft,23874113,"voice,productivity,chatbot"
AITool_295,Marketing AI,2025,Enterprise,Yes,161321,Anthropic,40578568,"developer,image,research"
AITool_296,Design AI,2024,Free,Yes,16293,Anthropic,40158320,"chatbot,automation,text"
AITool_297,Research AI,2020,Enterprise,No,119969,Anthropic,38290255,"chatbot,design,voice"
AITool_298,Image Generation,2023,Free,Yes,63215,Independent,11584006,"automation,research,voice"
AITool_299,Research AI,2025,Freemium,No,98823,Independent,35163091,"marketing,developer,video"
AITool_300,Speech AI,2022,Paid,No,16615,Adobe,22098214,"automation,research,productivity"
AITool_301,Video AI,2020,Freemium,No,102369,Meta,40417482,"image,text,design"
